Hi-Vol,,LSC    (bgd 1.246 cpm),,,,Efficency,,N0 / SCM Flow,,,[2]Bulk,,SO4 Anions,,  SO4 Rev
Sample ID,Range Collected,CPM,CPM - bgd,DPM,σ ,N,Δt (days),N0,atoms/m3,Error Propogation,atoms/m3,,μS/mL,μmol/m3,Bulk μS
UH130b S35 1/2,10/20-10/23/2020,3.536,2.29,3.27071,0.257,594549.05,10,643563.1,138,7.85E-05,275,, ,,16.4518
UH131b S35 1/2,10/23-10/27/2020,9.677,8.431,12.04357,0.467,2189275.3,8,2332507.9,338,9.67E-05,676,, ,,16.4518
UH132b S35 1/2,10/27-10/30/2020,5.89,4.644,6.63357,0.333,1205847.8,15,1357993.3,284,9.95E-05,568,, ,,16.4518
UH133b S35 1/2,10/30-11/3/2020,5.953,4.707,6.72357,0.35,1222207.96,12,1344092.7,214,7.95E-05,427,, ,,16.4518
,,,,,,,,,,,,,,,
OC1,8/22-9/4/2019,16.363,15.117,21.59500,0.610,3925529.93,18,4527145.6,215,4.139E-05,430,,,,8.7438
OC2 S35 1/2,9/4-9/14/2019,8.128,6.882,9.83071,0.472,1787023.07,15,2012497.3,123,4.111E-05,245,,,,4.2142
OC3 S35 1/2,9/19-9/25/2019,9.117,7.871,11.24357,0.370,2043851.64,20,2394728.2,140,3.100E-05,281,,,,2.0842
OC4 S35 1/2,9/25-10/3/2019,11.561,10.315,14.73500,0.466,2678522.04,12,2945637.8,232,5.241E-05,464,,,,1.0250
OC5c S35 1/2,10/3-10/13/2019,18.478,17.232,24.61643,0.608,4474763.93,21,5284663.4,324,5.320E-05,647,,,,0.4245
OC6c S35 1/2,10/13-10/20/2019,13.798,12.552,17.93071,0.481,3259437.63,12,3584485.2,316,6.055E-05,632,,,,1.0470
OC7c S35 1/2,10/20-10/26/2019,11.827,10.581,15.11500,0.392,2747598.28,10,2974107.5,307,5.774E-05,613,,,,2.0842
OC8c S35 1/2,10/26-11/2/2019,14.767,13.521,19.31500,0.374,3511072.49,12,3861214.3,330,4.569E-05,660,,,,4.2142
OC9c S35 1/2,11/2-11/9/2019,14.374,13.128,18.75357,0.569,3409016.25,12,3748980.5,330,7.146E-05,659,,,,8.5524
OC10c S35 1/2,11/9-11/13/2019,6.969,5.723,8.17500,0.294,1486048.03,6,1558385.5,254,6.846E-05,508,,,,
OC11c S35 1/2,11/13-11/17/2019,4.664,3.418,4.88214,0.622,887473.85,7,938075.9,144,1.360E-04,287,,,,
OC12c S35 1/2,11/17-11/21/2019,5.267,4.021,5.74357,0.288,1044063.97,10,1130135.6,174,6.329E-05,348,,,,
OC13c S35 1/2,11/21-11/25/2019,5.086,3.840,5.48500,0.304,997060.97,16,1131793.5,179,6.883E-05,359,,,,
OC14c S35 1/2,11/25-11/29/2019,5.098,3.852,5.50214,0.304,1000177.19,12,1099919.9,160,6.326E-05,320,,,,
OC15c S35 1/2,11/29-12/3/2019,3.387,2.141,3.05786,0.261,555855.97,13,616150.4,95,5.779E-05,191,,,,
OC16c S35 1/2,12/3-12/6/2019,2.969,1.723,2.46071,0.183,447307.60,11,488034.0,103,5.529E-05,206,,,,
